,Title,Date,Content,Image_URL
0,"Sri Lanka vs South Africa Live Score, T20 World Cup 2024: Klaasen, Hasaranga in focus as SL meet SA in New York; Toss, Playing XI updates","June 3, 2024  17:26 IST","Sri Lanka vs South Africa Live Score, T20 World Cup 2024: Klaasen, Hasaranga in focus as SL meet SA in New York; Toss, Playing XI updates June 3, 2024  17:26 ISTSri Lanka vs South Africa Live Score, T20 World Cup 2024: Wanindu Hasaranga-led Sri Lanka will lock horns against Aiden Markram’s South Africa at the Nassau County International Cricket Stadium in New York.","https://images.indianexpress.com/2024/06/ICC-T20-world-Cup-2024-SL-vs-SA-Sri-Lanka-vs-South-Africa-T20-world-Cup-2024-Sri-Lanka-vs-South-Africa-Match-Sri-Lanka-vs-South-Africa-Stadium-Nassau-County-International-Cricket-Stadium-New-York-Sri-Lanka-vs-South.jpg?resize=450,253"
1,"SL vs SA 2024, T20 World Cup 2024 Match Today: Playing XI prediction, head-to-head stats, key players, pitch report and weather update","June 3, 2024  17:15 IST","SL vs SA 2024, T20 World Cup 2024 Match Today: Playing XI prediction, head-to-head stats, key players, pitch report and weather update June 3, 2024  17:15 ISTSri Lanka vs South Africa, T20 World Cup 2024 2024: Here's a look at the Playing XI predictions, head-to-head stats, venue records, pitch, and weather updates ahead of the SL vs SA match.","https://images.indianexpress.com/2023/10/south-africa-2.jpg?resize=450,253"
2,"T20 World Cup 2024: Oman-Namibia record first Super Over in 12 years, third overall","June 3, 2024  09:56 IST","T20 World Cup 2024: Oman-Namibia record first Super Over in 12 years, third overall June 3, 2024  09:56 ISTT20 World Cup 2024: David Wiese shone with the bat and ball for Namibia to pip Oman in the first T20 World Cup Super Over in 12 years in Barbados.","https://images.indianexpress.com/2024/06/New-Project-2024-06-03T094324.758.jpg?resize=450,253"
3,Boxing: The real Amit Panghal shows up as he puts the struggles of last three years behind to win Paris Olympics quota,"June 3, 2024 09:33 IST","Boxing: The real Amit Panghal shows up as he puts the struggles of last three years behind to win Paris Olympics quotaJune 3, 2024 09:33 ISTThe last three years have not been easy for the Rohtak boxer. Panghal may have been the reigning Asian champion as well as the World’s silver medallist going into the previous Olympics but that one loss somehow also saw faith in him diminish.","https://images.indianexpress.com/2024/06/Amit-Panghal.jpg?resize=450,253"
4,Real Madrid win the trophy they were destined toSubscriber Only,"June 3, 2024  09:06 IST","Real Madrid win the trophy they were destined toSubscriber Only June 3, 2024  09:06 ISTNo pair in football exists quite like Real Madrid and Champions League. So in love with each other that they start to resemble each other, as when happy couples grow old.","https://images.indianexpress.com/2024/06/Real-Madrid-2.jpg?resize=450,253"
5,Mate-in-2: Ding Liren blunders against Magnus Carlsen to lose 4th game in row at Norway Chess,"June 3, 2024  14:29 IST","Mate-in-2: Ding Liren blunders against Magnus Carlsen to lose 4th game in row at Norway Chess June 3, 2024  14:29 ISTCarlsen says Ding has been making critical decisions quickly in games. “He doesn’t think when he needs to think… he looks miserable while playing,” said the world no 1.","https://images.indianexpress.com/2024/06/DING-LIREN-VS-MAGNUS-CARLSEN-CROP-Norway-Chess-VIA-Stev-Bonhage.jpg?resize=450,253"
6,Why Rishabh Pant’s one-handed shots are a double-edged sword,"June 3, 2024 08:16 IST","Why Rishabh Pant’s one-handed shots are a double-edged swordJune 3, 2024 08:16 ISTOn his day Rishabh Pant's one-handed shots can demoralise bowlers, but it’s also a high-risk option that hasn’t clicked recently.","https://images.indianexpress.com/2024/06/Pant.jpg?resize=450,253"
7,T20 World Cup: Barbados-born Aaron Jones’ batting pyrotechnics gives USA perfect start,"June 3, 2024  08:29 IST","T20 World Cup: Barbados-born Aaron Jones’ batting pyrotechnics gives USA perfect start June 3, 2024  08:29 ISTAaron Jones had played with the likes of Jason Holder and Shai Hope, made his first-class debut in 2017 but moved to USA when he didn't get a long run in Barbados .","https://images.indianexpress.com/2024/06/Aaron-2.jpg?resize=450,253"
8,"FIH Pro League: With defeat to Great Britain, Craig Fulton’s side take two steps forward and one step back","June 3, 2024  08:32 IST","FIH Pro League: With defeat to Great Britain, Craig Fulton’s side take two steps forward and one step back June 3, 2024  08:32 ISTFIH Pro League: India's defeat against GB on Sunday would be frustrating for Craig Fulton for a few reasons.","https://images.indianexpress.com/2024/06/New-Project-2024-06-02T234101.645.jpg?resize=450,253"
9,T20 World Cup 2024: West Indies survive Papua New Guinea scare in Group C opener,"June 3, 2024  08:32 IST","T20 World Cup 2024: West Indies survive Papua New Guinea scare in Group C opener June 3, 2024  08:32 ISTChasing a 137-run target, PNG had pegged the Windies top-order before Roston Chase and Andre Russell led the team home with only six balls to spare.","https://images.indianexpress.com/2024/06/New-Project-2024-06-02T232340.778.jpg?resize=450,253"
10,"Numbers back Gukesh’s bid to be youngest-ever world champion, unless the battle versus Ding Liren heads to tiebreaks","June 3, 2024  08:32 IST","Numbers back Gukesh’s bid to be youngest-ever world champion, unless the battle versus Ding Liren heads to tiebreaks June 3, 2024  08:32 ISTDr Mehmet Ismail, a Ph.D in Economics from Maastricht University who has crunched the numbers, says Gukesh has a 63.4 percent chance of winning the title.","https://images.indianexpress.com/2024/06/New-Project-2024-06-02T225235.299.jpg?resize=450,253"
11,"Paris Olympics: 50 years after Hawa Singh’s last Asiad medal, boxer Jaismine Lamboriya completes her late great grand-uncle’s ambition of going to Games","June 3, 2024  08:35 IST","Paris Olympics: 50 years after Hawa Singh’s last Asiad medal, boxer Jaismine Lamboriya completes her late great grand-uncle’s ambition of going to Games June 3, 2024  08:35 ISTTrained by the double Asiad champion's grand-nephews at Bhiwani, the 23-year-old southpaw won India's sixth Paris Games quota as the clan celebrates the continuance of a proud legacy.","https://images.indianexpress.com/2024/06/New-Project-2024-06-02T215909.999.jpg?resize=450,253"
12,Gautam Gambhir on coaching India: No bigger honour than coaching your national team,"June 3, 2024  10:04 IST","Gautam Gambhir on coaching India: No bigger honour than coaching your national team June 3, 2024  10:04 ISTWhile it is unclear whether Gautam Gambhir has applied for the India head coach position, the 42-year-old opined that there was no bigger honour than coaching the national side on Sunday.","https://images.indianexpress.com/2024/06/New-Project-2024-06-02T200430.980.jpg?resize=450,253"
13,"Norway Chess: Praggnanandhaa takes down World No.2 Fabiano Caruana; 3 Indians break into FIDE top 10, Anand is No.11","June 3, 2024  08:32 IST","Norway Chess: Praggnanandhaa takes down World No.2 Fabiano Caruana; 3 Indians break into FIDE top 10, Anand is No.11 June 3, 2024  08:32 ISTArjun Erigaisi is the top-ranked Indian in the FIDE live ratings at No. 4,  World Championship challenger Gukesh at No.7, Praggnanandhaa at No.10 and former world champion Viswanathan Anand is No.11.","https://images.indianexpress.com/2024/06/New-Project-2024-06-02T184024.301.jpg?resize=450,253"
14,"WI vs PNG Highlights, ICC T20 world Cup 2024: Roston Chase’s rescue act helps WI recover from scare to defeat Papua New Guinea by 5 wickets","June 3, 2024  00:13 IST","WI vs PNG Highlights, ICC T20 world Cup 2024: Roston Chase’s rescue act helps WI recover from scare to defeat Papua New Guinea by 5 wickets June 3, 2024  00:13 ISTWest Indies vs Papua New Guinea Highlights, T20 world Cup 2024: Sese Bau scores 50 as West Indies restrict Papua New Guinea to 136/8 in the T20 World Cup at the Providence Stadium in Guyana on Sunday.","https://images.indianexpress.com/2024/06/WI-PNG.jpg?resize=450,253"
15,"Aqib Ilyas story: A cancer survivor, who almost lost his leg, missed cricket for 18 months and is now Oman’s captain","June 3, 2024  08:30 IST","Aqib Ilyas story: A cancer survivor, who almost lost his leg, missed cricket for 18 months and is now Oman’s captain June 3, 2024  08:30 ISTThe 31-year-old, who has replaced Zeeshan Maqsood as captain of the Oman cricket team, talks about how he thought his life was over after a tumour was detected in his left ankle, which forced him to stay away from cricket for 18 months","https://images.indianexpress.com/2024/06/oman-player.jpg?resize=450,253"
16,"India vs Great Britain Highlights, Hockey FIH Pro League: Harmanpreet’s men lose 1-3; Salima and Co lose a thriller 2-3","June 3, 2024  00:15 IST","India vs Great Britain Highlights, Hockey FIH Pro League: Harmanpreet’s men lose 1-3; Salima and Co lose a thriller 2-3 June 3, 2024  00:15 ISTIndia vs Great Britain Live Score, FIH Hockey Pro League 2024: Harmanpreet Singh and Co won their last two matches in the FIH Pro League but couldn't make it three in a row.","https://images.indianexpress.com/2024/06/india-hockey-vivek-1600-900-.jpeg?resize=450,253"
17,Babar Azam says expectations and hype around the India vs Pakistan match can cause ‘nervousness’,"June 3, 2024  10:07 IST","Babar Azam says expectations and hype around the India vs Pakistan match can cause ‘nervousness’ June 3, 2024  10:07 ISTIndia and Pakistan teams are placed in Group A in the ongoing T20 World Cup in the West Indies and the USA and will meet each other on July 9 in New York","https://images.indianexpress.com/2024/06/rohit-sharma-babar-azam.jpg?resize=450,253"
18,"SL vs SA 2024, T20 World Cup 2024 Live Streaming: When and where to watch Sri Lanka vs South Africa live?","June 3, 2024  10:07 IST","SL vs SA 2024, T20 World Cup 2024 Live Streaming: When and where to watch Sri Lanka vs South Africa live? June 3, 2024  10:07 ISTSri Lanka vs South Africa 2024, T20 World Cup 2024 Live Streaming: The Indian Express gives all the live streaming details of the T20 World Cup game between Sri Lanka vs South Africa on Monday.","https://images.indianexpress.com/2024/06/sl-vs-sa.jpg?resize=450,253"
19,"NAM vs OMA 2024, T20 World Cup 2024 Live Streaming: When and where to watch Namibia vs Oman live?","June 3, 2024  10:07 IST","NAM vs OMA 2024, T20 World Cup 2024 Live Streaming: When and where to watch Namibia vs Oman live? June 3, 2024  10:07 ISTNamibia vs Oman 2024, T20 World Cup 2024 Live Streaming: The Indian Express gives all the live streaming details of the T20 World Cup game between Namibia and  Oman on Sunday.","https://images.indianexpress.com/2024/06/nam-vs-png.jpg?resize=450,253"
20,Why Indian badminton needs to stay patient with Treesa Jolly-Gayatri GopichandSubscriber Only,"June 2, 2024  17:29 IST","Why Indian badminton needs to stay patient with Treesa Jolly-Gayatri GopichandSubscriber Only June 2, 2024  17:29 ISTGayatri's fitness certainly needs shoring up, but it will be unwise to treat Treesa like a hitting-machine too. Smashes get neutralized in women's doubles, writes Shivani Naik.","https://images.indianexpress.com/2024/06/Treesa-Jolly-Gayatri-Gopichand.jpg?resize=450,253"
21,"As cricket begins American Dream, hopes, doubts on changing traditions","June 2, 2024  17:28 IST","As cricket begins American Dream, hopes, doubts on changing traditions June 2, 2024  17:28 ISTOn Sunday, the home team is set to play Canada in the opening game, but it is the other neighbourly clash, India vs Pakistan on,  June 9 in New York, that is expected to turn the global gaze on cricket in America. After 16 group games in the US, the action moves to the West Indies, with the final in Barbados on June 29.","https://images.indianexpress.com/2024/06/ONeil.jpg?resize=450,253"
22,"USA vs CAN highlights, ICC T20 World Cup 2024: United States beat Canada by 7 wickets in Dallas","June 2, 2024  13:53 IST","USA vs CAN highlights, ICC T20 World Cup 2024: United States beat Canada by 7 wickets in Dallas June 2, 2024  13:53 ISTUnited States vs Canada highlights, T20 World Cup 2024: After being asked for bat first, Canada have batted brilliantly to post 194 for 5 against USA in the first match of the ICC Men's T20 World Cup","https://images.indianexpress.com/2024/06/usa.jpg?resize=450,253"
23,"UCL Final: Dortmund had their moments, but Real Madrid do Real Madrid things to clinch 15th title","June 2, 2024  17:31 IST","UCL Final: Dortmund had their moments, but Real Madrid do Real Madrid things to clinch 15th title June 2, 2024  17:31 ISTDani Carvajal and Vinicius Junior scored the goals for the Spanish giants as Dortmund rue missed opportunities.","https://images.indianexpress.com/2024/06/REAL-3.jpg?resize=450,253"
24,"Hikaru Nakamura on Ding Liren: ‘Very concerned for him against Gukesh, world champ doesn’t look right, was literally shaking’","June 3, 2024  08:32 IST","Hikaru Nakamura on Ding Liren: ‘Very concerned for him against Gukesh, world champ doesn’t look right, was literally shaking’ June 3, 2024  08:32 ISTAt the Norway Chess event so far, Ding has lost his last three games in the classical format itself: before losing to Nakamura, he was defeated by Alireza Firouzja (in round 4) and Fabiano Caruana (round 3).","https://images.indianexpress.com/2024/06/DING-LIREN-CROPPED-STEV-BONHAGE-NORWAY-CHESS.jpg?resize=450,253"
